ID,DemAffl,Dem Age,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,Target Amt
0000580287,7,53,20,C,F,Midlands,Wales & West,Tin,0.01,5,1,1
0000588784,9,64,37,E,M,Midlands,Midlands,Silver,1000,12,0,0
0000595233,10,49,30,D,M,South East,S & S East,Silver,3000,5,1,1
0000598453,17,59,51,F,F,South East,London,Gold,12000,8,1,2
0000600504,8,37,52,F,F,North,N West,Tin,0.01,5,0,0
0000601969,5,60,14,B,,South East,London,Gold,10000,2,0,0
0000602906,10,64,52,F,,North,Yorkshire,Tin,0.01,4,0,0
0000604011,3,,16,C,F,North,N West,Silver,5000,4,0,0
0000606316,15,51,26,C,F,South East,London,Silver,3000,8,1,1
0000607118,8,47,,,F,Midlands,Midlands,Tin,0.01,5,0,0
0000607444,18,51,11,B,F,Midlands,Wales & West,Silver,3000,3,0,0
0000608378,5,58,34,D,F,Scottish,C Scotland,Silver,3050,11,0,0
0000610283,9,46,01,A,M,South East,London,Tin,0.01,9,0,0
0000611662,5,48,31,D,U,South East,London,Tin,0.01,5,0,0
0000618284,15,,41,E,F,Midlands,East,Silver,0.02,,1,2
0000621358,4,61,19,C,F,Midlands,Midlands,Gold,6000,1,0,0
0000630888,9,38,17,C,F,Midlands,Midlands,Tin,0.01,5,1,1
0000633380,7,68,41,E,M,South East,S & S East,Gold,15000.01,6,0,0
0000633542,12,76,53,F,F,Midlands,Wales & West,Gold,6000,2,0,0
0000641022,4,56,32,D,F,North,Yorkshire,Tin,0.01,8,0,0
0000642568,8,73,02,A,M,North,N East,Silver,360,1,1,1
0000649007,8,37,33,D,F,Midlands,Midlands,Tin,0.01,9,1,1
0000653500,,32,25,C,F,Midlands,Midlands,Silver,2500,1,1,1
0000663603,11,74,01,A,F,South East,London,Silver,3350,4,0,0
0000666238,9,65,30,D,M,North,Yorkshire,Gold,6107.64,,0,0
0000667692,5,60,37,E,F,Midlands,Midlands,Silver,5000,2,0,0
0000669067,10,35,30,D,F,Scottish,C Scotland,Silver,1500,4,0,0
0000672785,6,46,23,C,F,Scottish,N Scot,Gold,6544.99,1,0,0
0000674885,3,46,37,E,F,South East,London,Gold,6000,5,0,0
0000682144,5,70,41,E,F,South East,London,Platinum,21684.94,0,0,0
0000691178,9,37,,,M,Midlands,Ulster,Gold,10000,11,1,1
0000693847,4,46,08,B,U,South East,S & S East,Gold,6000,3,0,0
0000708569,3,68,43,E,U,Scottish,C Scotland,Silver,4000,18,0,0
0000711616,10,,08,B,U,Midlands,Midlands,Platinum,50000,4,0,0
0000714054,11,,32,D,U,Midlands,Wales & West,Silver,5000,5,0,0
0000723185,12,49,37,E,F,South East,London,Silver,3000,3,0,0
0000734446,4,63,38,E,F,Midlands,Midlands,Silver,3026.67,7,0,0
0000741779,4,62,08,B,U,Midlands,Midlands,Silver,5000,5,0,0
0000742880,5,,37,E,F,South East,S & S East,Gold,10000,7,1,1
0000745421,5,62,34,D,,Midlands,East,Silver,0.02,8,0,0
0000749044,5,74,22,C,U,North,N East,Gold,6000,1,0,0
0000750840,5,52,,,F,South East,S & S East,Tin,0.01,5,0,0
0000755931,,42,10,B,F,North,N West,Tin,0.01,4,0,0
0000760641,8,74,28,D,,Midlands,Midlands,Gold,6000,17,1,1
0000764876,7,43,32,D,F,South East,S & S East,Tin,0.01,5,0,0
0000770264,8,64,25,C,F,South East,London,Gold,12000,2,0,0
0000775258,12,31,44,E,F,North,N West,Silver,1100,9,0,0
0000778176,11,41,27,D,F,North,N East,Silver,1000,5,0,0
0000779199,9,45,51,F,F,Midlands,Wales & West,Tin,0.01,8,0,0
0000794872,8,67,25,C,,South East,London,Gold,10000.01,2,0,0
0000795267,17,,01,A,F,South East,London,Silver,1000,13,1,2
0000796026,9,40,21,C,F,South East,London,Tin,0.01,5,0,0
0000802069,7,70,05,B,F,South East,S & S East,Gold,12000,2,0,0
0000804061,20,,16,C,F,South East,S & S East,Silver,480,1,1,2
0000806994,6,56,52,F,,Midlands,Midlands,Tin,0.01,5,0,0
0000807877,,,13,B,F,South East,London,Gold,8053.35,1,0,0
0000811831,15,32,52,F,,North,Yorkshire,Tin,0.01,5,1,3
0000819301,10,51,,,M,Midlands,Ulster,Silver,1000,6,0,0
0000823066,8,65,10,B,,South East,London,Silver,50,7,0,0
0000823961,8,52,51,F,F,Midlands,Wales & West,Gold,6000,2,0,0
0000826758,8,,25,C,F,Scottish,C Scotland,Gold,6000,2,1,1
0000827614,6,38,38,E,F,South East,S & S East,Tin,0.01,9,1,1
0000830380,8,43,32,D,F,South East,London,Silver,50,10,0,0
0000835404,7,37,44,E,M,North,N West,Tin,0.01,5,0,0
0000836222,7,42,22,C,M,Scottish,N Scot,Tin,0.01,5,0,0
0000841013,4,22,02,A,U,Midlands,Midlands,Gold,6000,3,0,0
0000842486,8,31,44,E,U,Midlands,East,Tin,0.01,8,0,0
0000848085,15,33,06,B,F,North,N West,Silver,0.02,7,1,2
0000851396,9,,51,F,M,South East,London,Silver,600,7,0,0
0000853291,8,31,49,F,,Midlands,Midlands,Silver,5000,1,0,0
0000856916,8,54,34,D,M,Scottish,C Scotland,Gold,12000,8,0,0
0000861820,5,54,18,C,F,South East,S & S East,Silver,1000,2,0,0
0000870307,9,53,10,B,M,North,Yorkshire,Gold,6000,3,0,0
0000871095,16,37,53,F,F,North,Yorkshire,Tin,0.01,5,1,2
0000875694,8,63,28,D,,South West,S West,Gold,6000,2,0,0
0000876623,3,33,,,M,North,N West,Tin,0.01,5,0,0
0000878812,7,65,12,B,F,South East,London,Tin,0.01,8,0,0
0000889199,14,39,38,E,F,Midlands,Midlands,Silver,50,10,1,1
0000897485,9,42,47,F,F,Scottish,C Scotland,Gold,6000,2,1,1
0000899186,6,67,37,E,M,North,Yorkshire,Silver,3000,8,0,0
0000903191,11,43,52,F,F,Midlands,Midlands,Tin,0.01,5,1,1
0000908584,9,,23,C,M,North,N West,Gold,6000,6,0,0
0000909459,8,50,19,C,F,South East,S & S East,Silver,0.02,9,0,0
0000910007,5,70,08,B,,Midlands,Midlands,Gold,12000,5,0,0
0000918237,13,58,28,D,F,Midlands,Midlands,Tin,0.01,8,0,0
0000919551,13,50,,,F,,,Tin,0.01,5,1,1
0000922366,7,78,,,F,Midlands,Ulster,Silver,1250,5,0,0
0000929506,5,79,12,B,M,Midlands,East,Gold,6000,8,0,0
0000935530,8,68,01,A,F,South East,London,Silver,800,8,1,1
0000943517,9,48,01,A,F,South East,London,Silver,600,8,0,0
0000946311,9,,20,C,M,South East,London,Silver,3000,3,0,0
0000950033,12,35,51,F,M,South West,S West,Silver,1500,5,0,0
0000951897,9,38,34,D,F,Midlands,East,Tin,0.01,4,1,1
0000952729,11,42,17,C,M,North,N West,Gold,6041.13,5,0,0
0000956155,14,50,17,C,M,North,N West,Silver,420.01,4,0,0
0000956635,4,63,22,C,M,North,N West,Tin,0.01,5,1,1
0000963194,9,75,20,C,F,South East,London,Gold,6000,1,0,0
0000966932,8,50,29,D,F,South East,London,Silver,50,8,0,0
0000985295,2,58,34,D,F,South East,London,Tin,0.01,8,0,0
0000994332,8,66,,,F,Midlands,Ulster,Silver,500,8,0,0
0000997684,6,54,48,F,F,South East,London,Silver,50,11,0,0
0001002422,7,54,35,D,F,North,N West,Tin,0.01,5,0,0
0001003402,18,38,53,F,F,South East,London,Tin,0.01,6,1,1
0001004301,6,,53,F,M,Midlands,East,Gold,6000,2,0,0
0001008129,8,55,24,C,M,South East,London,Silver,1000,5,0,0
0001009060,8,52,38,E,M,Scottish,C Scotland,Tin,0.01,4,0,0
0001009931,11,59,32,D,F,Midlands,Midlands,Silver,1500,2,0,0
0001011243,6,63,49,F,M,South West,S West,Silver,1000,2,1,1
0001011669,15,47,38,E,M,North,N West,Tin,0.01,6,0,0
0001012509,6,44,51,F,F,South East,London,Tin,0.01,8,0,0
0001013394,7,39,04,A,F,South East,London,Tin,0.01,7,0,0
0001018361,5,72,04,A,U,Midlands,Midlands,Gold,6000,2,0,0
0001022334,8,38,47,F,M,Midlands,Wales & West,Tin,0.01,5,0,0
0001024248,13,72,30,D,F,South East,S & S East,Tin,0.01,8,0,0
0001029592,11,,27,D,M,South East,London,Tin,0.01,4,1,1
0001030302,6,76,49,F,,Scottish,Border,Silver,3000,8,0,0
0001036084,11,50,32,D,,North,N East,Silver,3000,8,0,0
0001040227,7,66,19,C,F,Midlands,Wales & West,Gold,9000,8,0,0
0001040944,6,51,38,E,,South East,London,Tin,0.01,5,0,0
0001041231,7,61,19,C,,Midlands,Midlands,Gold,6107.64,,0,0
0001043773,3,63,25,C,,Midlands,Midlands,Tin,0.01,8,0,0
0001054015,6,78,51,F,F,South East,London,Gold,7500,5,0,0
0001055682,9,55,15,B,M,Midlands,East,Gold,5672.31,2,0,0
0001060228,7,49,53,F,M,Midlands,Midlands,Gold,10000,3,0,0
0001061348,13,70,05,B,,South East,London,Silver,2884.96,8,0,0
0001068601,6,45,32,D,F,Midlands,Midlands,Tin,0.01,4,0,0
0001070037,5,73,52,F,F,Scottish,C Scotland,Silver,600,32,0,0
0001070460,8,71,04,A,F,South East,London,Platinum,23425,4,1,1
0001072773,14,52,27,D,F,South East,London,Gold,7017.55,5,0,0
0001080016,11,52,34,D,F,Midlands,East,Tin,0.01,,0,0
0001083767,9,64,52,F,F,,,Silver,3000,1,0,0
0001084607,9,57,16,C,F,Midlands,Midlands,Gold,9052.66,7,0,0
0001087452,6,,44,E,F,Midlands,Midlands,Silver,2000,27,0,0
0001091085,10,63,27,D,M,North,N West,Gold,6053.34,4,0,0
0001094955,,32,41,E,F,Midlands,Midlands,Tin,0.01,4,1,1
0001097474,20,39,24,C,M,North,N West,Tin,0.01,8,1,2
0001098918,7,35,22,C,F,Midlands,Midlands,Tin,0.01,4,1,1
0001101579,8,58,48,F,F,Midlands,Wales & West,Silver,1930,9,0,0
0001103288,10,40,23,C,F,Midlands,Midlands,Tin,0.01,4,1,1
0001104136,13,,25,C,M,South East,S & S East,Silver,980,5,1,1
0001108646,9,61,03,A,F,South East,London,Gold,12150,11,0,0
0001111434,13,70,25,C,F,North,N West,Silver,500,11,0,0
0001115014,12,,31,D,F,Midlands,Midlands,Gold,9000,11,0,0
0001117629,7,,35,D,F,Midlands,Midlands,Tin,0.01,8,0,0
0001128353,5,70,52,F,F,North,N West,Silver,3500,5,0,0
0001131451,6,60,03,A,F,Midlands,Wales & West,Gold,10000,4,0,0
0001134051,14,77,06,B,F,South East,S & S East,Silver,4884.25,11,0,0
0001135724,10,74,42,E,F,South East,S & S East,Silver,4500,12,0,0
0001136585,7,67,33,D,F,Midlands,Wales & West,Silver,3000,5,0,0
0001137492,7,51,27,D,M,Midlands,Midlands,Gold,17000,11,1,1
0001138235,18,37,25,C,F,Midlands,Midlands,Silver,50.01,8,1,3
0001143662,8,35,52,F,,North,N West,Gold,5044.46,5,0,0
0001150820,5,58,20,C,F,Scottish,N Scot,Gold,6000,22,0,0
0001151037,6,27,30,D,F,South East,S & S East,Silver,5,7,0,0
0001154958,5,72,12,B,U,South East,London,Platinum,32050,12,0,0
0001156179,9,70,31,D,F,South East,London,Gold,6000,8,0,0
0001162020,7,,51,F,F,Midlands,Wales & West,Tin,0.01,2,0,0
0001164910,7,51,38,E,M,North,N West,Tin,0.01,10,0,0
0001176846,9,31,52,F,F,,,Silver,1064.45,1,1,1
0001178520,10,58,51,F,F,Midlands,Wales & West,Silver,3000.01,8,0,0
0001179462,10,73,38,E,F,Midlands,Wales & West,Tin,0.01,6,0,0
0001184199,7,38,51,F,F,South East,London,Silver,4500,4,0,0
0001186671,7,71,01,A,F,South East,London,Silver,2000,3,1,1
0001190369,22,50,22,C,M,South East,London,Silver,3000,6,1,2
0001191357,9,,,,U,Midlands,Wales & West,Silver,2000,4,0,0
0001192051,6,51,22,C,F,Midlands,Midlands,Silver,3500,27,0,0
0001195654,10,33,35,D,F,Midlands,Wales & West,Tin,0.01,8,0,0
0001196413,6,67,01,A,U,Midlands,Midlands,Silver,5000,4,0,0
0001201212,,78,15,B,M,South East,S & S East,Silver,3000,8,0,0
0001214039,8,64,02,A,F,South East,London,Gold,20000,4,1,1
