TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,GB,_freq_
H,2,3,38,168.00,27.00,1.00,0.00,0.00,3400.00,0.00,G,1.00,1.00,2,0,0.00,700.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,1,1
H,1,3,30,54.00,168.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,2500.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,0,1,24,288.00,18.00,2.00,0.00,0.00,2600.00,0.00,U,3.00,1.00,0,0,0.00,3000.00,Cars,Lease,German,Others,Car,no credit cards,0,30
R,0,1,66,264.00,66.00,2.00,0.00,0.00,0.00,1.00,W,3.00,1.00,0,0,0.00,600.00,"Dept. Store,Mail",Lease,German,Pensioner,Without Vehicle,Cheque card,0,30
H,0,2,51,216.00,60.00,2.00,2.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,2500.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,0,2,46,240.00,240.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1400.00,Cars,Lease,German,"Food,Building,Ca",Car,Cheque card,0,30
H,0,2,38,999.00,30.00,1.00,0.00,1.00,2100.00,0.00,V,1.00,1.00,2,0,0.00,3000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,1,1
H,1,3,38,84.00,30.00,2.00,0.00,0.00,0.00,0.00,V,3.00,1.00,0,0,0.00,1100.00,"Furniture,Carpet",Lease,German,Others,Car,Mastercard/Euroc,0,30
H,0,1,24,6.00,42.00,1.00,0.00,0.00,2000.00,0.00,U,1.00,1.00,0,0,0.00,6000.00,Cars,Lease,German,Others,Car,no credit cards,1,1
H,2,3,41,18.00,33.00,1.00,1.00,1.00,0.00,1.00,U,1.00,1.00,3,0,0.00,600.00,Cars,Lease,German,"Civil Service, M",Car,Cheque card,1,1
H,2,4,41,120.00,240.00,2.00,0.00,0.00,0.00,0.00,V,3.00,1.00,0,0,0.00,1500.00,"Furniture,Carpet",Lease,German,Others,Car,Mastercard/Euroc,0,30
R,1,3,28,3.00,6.00,1.00,0.00,0.00,1500.00,0.00,V,1.00,1.00,0,3,1.00,3000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,2,3,36,21.00,216.00,2.00,0.00,1.00,0.00,1.00,G,3.00,1.00,0,0,0.00,600.00,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,1,3,33,999.00,36.00,1.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,500.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,0,1,21,264.00,9.00,2.00,0.00,0.00,2100.00,0.00,U,3.00,1.00,0,0,0.00,1300.00,Cars,Lease,German,Others,Car,no credit cards,1,1
H,0,1,20,264.00,6.00,2.00,0.00,0.00,2600.00,0.00,U,3.00,1.00,0,0,0.00,800.00,Cars,Lease,German,Others,Car,no credit cards,0,30
H,0,1,19,240.00,9.00,2.00,0.00,0.00,1000.00,0.00,U,3.00,1.00,0,3,1.00,2000.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,2,4,26,72.00,24.00,2.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1100.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,Cheque card,1,1
R,0,2,57,999.00,15.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,600.00,"Dept. Store,Mail",,German,Pensioner,Car,Cheque card,0,30
H,2,4,37,192.00,60.00,1.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1400.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,1,3,36,96.00,6.00,2.00,0.00,0.00,2200.00,0.00,V,3.00,1.00,0,0,0.00,2500.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,0,30
H,0,1,22,48.00,9.00,1.00,0.00,0.00,0.00,1.00,U,1.00,1.00,1,0,0.00,800.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,1,1
H,1,3,56,264.00,60.00,1.00,0.00,0.00,1900.00,0.00,V,3.00,1.00,0,0,0.00,600.00,"Dept. Store,Mail",Lease,German,Pensioner,Car,no credit cards,0,30
H,1,3,47,288.00,288.00,2.00,0.00,0.00,3300.00,0.00,V,3.00,1.00,0,0,0.00,1500.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,0,30
H,2,4,41,12.00,30.00,2.00,0.00,0.00,0.00,1.00,V,2.00,1.00,2,0,0.00,500.00,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,Cheque card,1,1
R,1,2,40,120.00,45.00,1.00,0.00,0.00,0.00,1.00,W,3.00,1.00,0,0,0.00,1900.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,2,4,32,66.00,216.00,1.00,2.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1400.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,2,4,30,18.00,192.00,1.00,0.00,0.00,1500.00,0.00,V,3.00,1.00,0,0,0.00,1600.00,"Furniture,Carpet",Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,0,30
R,0,2,56,288.00,6.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1200.00,"Radio, TV, Hifi",,German,Others,Car,Cheque card,0,30
R,0,2,46,6.00,96.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,0,0,0.00,1500.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,1,2,43,42.00,144.00,1.00,0.00,0.00,2500.00,0.00,G,3.00,1.00,0,0,0.00,1300.00,Leisure,Lease,German,Others,Without Vehicle,no credit cards,1,1
R,1,3,29,54.00,54.00,1.00,0.00,0.00,1800.00,0.00,V,1.00,1.00,2,0,0.00,2500.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,1,1
R,1,2,36,30.00,15.00,2.00,2.00,0.00,1800.00,0.00,U,1.00,1.00,1,0,0.00,1500.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,0,30
H,0,2,31,48.00,24.00,2.00,0.00,1.00,1800.00,0.00,V,1.00,1.00,0,0,0.00,1800.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,0,30
H,0,1,28,96.00,36.00,1.00,0.00,0.00,2600.00,0.00,U,1.00,1.00,1,0,0.00,700.00,"Radio, TV, Hifi",,German,Others,Car,no credit cards,1,1
H,0,1,27,240.00,96.00,1.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,1300.00,Cars,Lease,German,Others,Car,Cheque card,0,30
H,0,2,44,108.00,6.00,1.00,0.00,0.00,2000.00,0.00,V,1.00,1.00,1,0,0.00,3000.00,"Furniture,Carpet",,German,Others,Car,no credit cards,1,1
H,1,2,29,96.00,168.00,1.00,0.00,0.00,1700.00,0.00,U,3.00,1.00,0,0,0.00,1000.00,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Without Vehicle,no credit cards,1,1
R,0,2,54,108.00,108.00,2.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1300.00,"Radio, TV, Hifi",,German,"Sea Vojage, Gast",Car,Cheque card,0,30
R,2,3,29,30.00,144.00,1.00,0.00,0.00,2400.00,0.00,G,1.00,1.00,2,0,0.00,4000.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,no credit cards,1,1
R,0,1,65,192.00,60.00,2.00,0.00,0.00,0.00,1.00,W,3.00,1.00,0,0,0.00,2500.00,"Furniture,Carpet",Lease,German,Pensioner,Without Vehicle,Cheque card,0,30
H,0,1,28,240.00,9.00,1.00,0.00,0.00,2300.00,0.00,U,3.00,1.00,0,0,0.00,7000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,1,2,34,168.00,42.00,1.00,0.00,0.00,2100.00,0.00,U,3.00,1.00,0,0,0.00,1300.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,0,1,24,288.00,96.00,2.00,0.00,0.00,1700.00,0.00,U,1.00,1.00,1,0,0.00,600.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,1,1
R,3,5,40,18.00,54.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1300.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,0,30
R,2,4,40,48.00,12.00,2.00,0.00,0.00,1500.00,0.00,V,1.00,1.00,2,0,0.00,700.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,0,30
R,0,2,28,42.00,18.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1000.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,0,1,25,240.00,60.00,1.00,2.00,0.00,0.00,1.00,U,1.00,1.00,1,0,0.00,700.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,1,1
R,1,3,35,36.00,168.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1300.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,2,4,43,144.00,9.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,800.00,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,0,30
R,1,2,40,240.00,60.00,1.00,0.00,0.00,0.00,1.00,G,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
R,0,1,46,60.00,336.00,1.00,0.00,0.00,2300.00,1.00,G,3.00,1.00,0,0,0.00,5000.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
R,0,1,70,288.00,144.00,1.00,0.00,0.00,1000.00,0.00,G,3.00,1.00,0,2,1.00,700.00,"Radio, TV, Hifi",Lease,German,Pensioner,Without Vehicle,no credit cards,0,30
H,1,3,41,108.00,21.00,2.00,0.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1400.00,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,Cheque card,0,30
R,2,4,35,168.00,15.00,1.00,0.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1000.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,1,1
R,0,2,32,12.00,144.00,1.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1600.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,1,3,52,192.00,240.00,1.00,2.00,0.00,3000.00,0.00,V,1.00,1.00,3,0,0.00,4000.00,"Dept. Store,Mail",Owner,German,Others,Car,no credit cards,0,30
R,2,4,37,96.00,96.00,2.00,0.00,0.00,2200.00,1.00,V,3.00,1.00,0,0,0.00,1700.00,"Radio, TV, Hifi",,German,"Civil Service, M",Car,Cheque card,0,30
H,3,5,34,168.00,30.00,2.00,2.00,1.00,2800.00,1.00,V,1.00,1.00,1,0,0.00,1000.00,"Dept. Store,Mail",,German,Others,Car,Cheque card,0,30
R,0,2,31,9.00,12.00,1.00,0.00,0.00,1000.00,0.00,V,1.00,1.00,2,0,0.00,600.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,0,1,22,264.00,15.00,2.00,2.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,2000.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
R,0,1,63,264.00,27.00,1.00,0.00,0.00,1600.00,0.00,U,3.00,1.00,0,0,0.00,900.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,0,30
H,2,4,40,48.00,3.00,2.00,2.00,1.00,10000.00,0.00,V,1.00,1.00,0,4,1.00,0.00,,Lease,German,"Food,Building,Ca",Car,Cheque card,0,30
H,2,4,35,999.00,54.00,1.00,0.00,1.00,2700.00,1.00,V,1.00,1.00,5,0,0.00,2000.00,"Radio, TV, Hifi",,German,Others,Car,Cheque card,0,30
R,3,5,29,60.00,30.00,1.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1000.00,"Dept. Store,Mail",,German,"Civil Service, M",Car,Cheque card,0,30
H,2,4,49,144.00,336.00,2.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,4000.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
R,2,3,37,96.00,168.00,1.00,0.00,0.00,1500.00,0.00,G,3.00,1.00,0,0,0.00,4000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,1,1
H,1,3,32,48.00,96.00,2.00,0.00,0.00,3000.00,0.00,V,3.00,1.00,0,0,0.00,8000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,1,2,26,42.00,108.00,1.00,0.00,0.00,2200.00,0.00,U,1.00,1.00,1,0,0.00,1300.00,"Dept. Store,Mail",,German,Others,Car,no credit cards,1,1
R,0,1,55,264.00,15.00,1.00,0.00,0.00,1500.00,0.00,W,3.00,1.00,0,0,0.00,1500.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,0,30
H,1,3,42,192.00,108.00,2.00,1.00,1.00,2900.00,0.00,V,3.00,1.00,0,6,1.00,5000.00,,Lease,German,"Food,Building,Ca",Car,no credit cards,0,30
H,2,4,40,192.00,192.00,2.00,0.00,0.00,2600.00,0.00,V,1.00,1.00,2,0,0.00,15000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,1,2,20,168.00,54.00,1.00,0.00,0.00,1500.00,0.00,U,3.00,1.00,0,0,0.00,1400.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,1,1
R,0,1,31,48.00,60.00,1.00,0.00,0.00,1800.00,0.00,U,3.00,1.00,0,0,0.00,2500.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,0,1,24,168.00,9.00,1.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,1100.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,1,1
R,0,1,57,168.00,48.00,2.00,2.00,1.00,0.00,0.00,G,1.00,1.00,1,0,0.00,600.00,"Radio, TV, Hifi",Lease,German,Pensioner,Without Vehicle,Mastercard/Euroc,0,30
H,2,4,31,9.00,36.00,2.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
R,2,4,34,84.00,45.00,1.00,2.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,800.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,0,2,50,999.00,336.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1500.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,0,2,68,168.00,108.00,2.00,2.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1100.00,"Dept. Store,Mail",Lease,German,Pensioner,Car,Cheque card,1,1
H,0,1,22,264.00,15.00,1.00,0.00,0.00,0.00,1.00,U,1.00,1.00,1,0,0.00,2000.00,"Furniture,Carpet",Lease,German,"Food,Building,Ca",Car,Cheque card,1,1
H,0,2,58,240.00,36.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1200.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,0,30
H,2,4,33,192.00,24.00,1.00,0.00,1.00,0.00,1.00,V,1.00,1.00,1,2,1.00,700.00,"Radio, TV, Hifi",,German,Others,Car,Cheque card,0,30
H,0,1,26,312.00,36.00,1.00,0.00,0.00,0.00,1.00,U,3.00,1.00,0,0,0.00,1000.00,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,Cheque card,1,1
H,0,2,51,66.00,66.00,2.00,0.00,1.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1600.00,"Radio, TV, Hifi",,German,"Civil Service, M",Car,Cheque card,0,30
R,3,4,39,120.00,33.00,1.00,2.00,0.00,2000.00,0.00,G,1.00,1.00,0,0,0.00,1800.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
R,0,1,57,168.00,18.00,1.00,0.00,0.00,1500.00,0.00,W,2.00,1.00,1,0,0.00,1900.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,0,1,21,168.00,9.00,2.00,0.00,1.00,2700.00,0.00,U,1.00,1.00,1,0,0.00,500.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,1,1
H,1,3,43,216.00,36.00,2.00,0.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1600.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,2,3,35,36.00,45.00,2.00,0.00,1.00,4000.00,0.00,G,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
R,4,6,42,144.00,60.00,2.00,0.00,1.00,0.00,1.00,V,1.00,1.00,2,0,0.00,4000.00,"Furniture,Carpet",Lease,German,Self-employed pe,Without Vehicle,Cheque card,1,1
H,0,2,58,144.00,24.00,2.00,0.00,0.00,1500.00,0.00,V,3.00,1.00,0,0,0.00,900.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,1,1
H,2,4,44,96.00,108.00,2.00,0.00,0.00,2900.00,0.00,V,1.00,1.00,1,0,0.00,700.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,0,1,23,288.00,21.00,2.00,2.00,1.00,2100.00,0.00,U,1.00,1.00,3,0,0.00,5000.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,1,1
R,0,1,66,48.00,72.00,1.00,0.00,1.00,0.00,0.00,W,1.00,1.00,0,3,1.00,4000.00,"Radio, TV, Hifi",Lease,German,Pensioner,Without Vehicle,Mastercard/Euroc,1,1
R,0,1,64,264.00,42.00,1.00,0.00,0.00,0.00,1.00,U,3.00,1.00,0,0,0.00,3000.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,0,30
H,0,1,22,48.00,24.00,2.00,0.00,0.00,2000.00,0.00,U,3.00,1.00,0,0,0.00,1100.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,1,1
R,0,2,46,168.00,21.00,2.00,2.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1500.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,1,3,31,3.00,192.00,1.00,0.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1500.00,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,2,4,28,9.00,9.00,2.00,2.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1600.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,1,1
H,1,3,41,144.00,54.00,2.00,2.00,1.00,2900.00,0.00,V,3.00,1.00,0,3,1.00,0.00,,Lease,German,Others,Car,no credit cards,0,30
H,2,4,30,84.00,168.00,1.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1600.00,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,1,1
H,2,4,34,144.00,39.00,1.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,1400.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,0,1,30,144.00,15.00,1.00,0.00,0.00,0.00,1.00,U,1.00,1.00,1,0,0.00,700.00,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,0,30
H,1,2,29,36.00,48.00,2.00,0.00,1.00,5000.00,0.00,U,1.00,1.00,1,0,0.00,4000.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,0,30
H,0,1,26,42.00,21.00,1.00,2.00,0.00,0.00,1.00,U,1.00,1.00,1,0,0.00,500.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
R,0,1,20,168.00,12.00,1.00,0.00,0.00,1500.00,0.00,U,3.00,1.00,0,0,0.00,2000.00,Cars,Lease,German,Others,Car,no credit cards,1,1
H,0,1,68,144.00,33.00,1.00,0.00,0.00,0.00,1.00,G,1.00,1.00,1,0,0.00,1000.00,"Furniture,Carpet",Lease,German,Pensioner,Car,Cheque card,1,1
H,0,2,58,216.00,48.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,1,0,0.00,600.00,"Dept. Store,Mail",Lease,German,Pensioner,Car,Cheque card,0,30
R,1,3,45,192.00,9.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1000.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,0,30
H,0,1,22,264.00,33.00,1.00,0.00,0.00,1000.00,0.00,U,3.00,1.00,0,0,0.00,1300.00,Cars,Lease,German,Others,Car,no credit cards,1,1
